Staff ID; Password ; Name ; Role ; Gender ; Age
D001;password;John Smith;Doctor;Male;45
D002;password;Emily Clarke;Doctor;Female;38
<<<<<<< HEAD
D003;password;rain;Doctor;Male;1
D004;asdfghjkl1;Dion;Doctor;Male;10
D001;asdfghjkl1;John Smith;Doctor;Male;45
D002;password;Emily Clarke;Doctor;Female;38
D003;password;rain;Doctor;Male;1
D004;asdfghjkl1;Dion;Doctor;Male;10
P001;passwordpharma;Mark Lee;Pharmacist;Male;29
P001;passwordpharma;Mark Lee;Pharmacist;Male;29
A001;asdfghjkl1;Sarah Lee;Administrator;Female;40
A001;asdfghjkl1;Sarah Lee;Administrator;Female;40
=======
P001;password;Mark Lee;Pharmacist;Male;29
A001;password;Sarah Lee;Administrator;Female;40
>>>>>>> 4ccf1e788b7dc9f2cde10f98e1fc3301c6a8a981
